ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ
-0.15;-0.31;1.17;1.85;1.83;38.02
0.14;-0.32;1.10;0.89;-1.48;41.15
0.11;-0.17;1.15;-1.50;-1.71;4.98
0.03;-0.04;1.17;-1.80;1.07;-5.97
0.02;-0.01;1.16;-0.70;0.37;-6.09
-0.00;0.03;1.22;-1.80;2.52;-8.93
0.05;-0.00;1.12;-0.73;1.53;-9.25
0.00;0.02;1.17;-1.39;0.70;-7.77
0.05;-0.05;1.10;-0.95;0.61;-6.32
0.06;-0.03;1.09;-1.11;0.56;-4.63
0.02;-0.03;1.14;-1.30;2.70;-5.42
0.03;0.02;1.15;-1.04;1.53;-4.09
0.05;0.05;1.15;-0.92;2.58;-1.30
0.07;-0.02;1.09;-1.42;1.08;-1.40
0.04;-0.00;1.15;-0.85;1.21;-1.73
0.03;0.00;1.16;-1.36;1.98;1.91
0.06;-0.02;1.06;-0.82;0.38;4.00
0.05;-0.06;1.10;0.40;1.18;8.81
0.05;-0.03;1.13;-0.06;3.42;3.53
0.02;-0.03;1.11;-0.73;2.99;7.69
0.08;-0.02;1.12;-0.56;3.19;9.36
0.01;-0.02;1.23;-1.83;2.61;-0.56
0.11;0.01;1.05;-1.98;2.85;-6.52
0.04;-0.01;1.15;-2.11;3.68;-14.98
0.10;-0.08;1.02;-1.77;4.14;-16.03
0.05;0.02;1.15;-2.61;-1.28;-13.45
0.07;-0.03;1.04;-2.72;4.17;-10.63
0.05;0.01;1.14;-1.19;2.11;-11.34
-0.02;0.04;1.20;-2.43;0.66;-13.44
-0.01;-0.03;1.19;-0.96;-2.72;-8.41
0.02;-0.04;1.15;-2.34;2.44;-5.40
0.02;-0.02;1.21;-0.64;-2.66;-1.45
0.01;-0.06;1.19;-1.45;2.52;-3.22
0.07;-0.03;1.12;-1.62;-0.64;-5.45
0.01;-0.03;1.20;-2.24;-2.03;-5.31
0.04;0.00;1.14;-1.34;-0.11;-7.04
-0.01;-0.04;1.18;-0.96;0.29;-4.15
0.05;-0.03;1.15;-1.57;1.66;-6.49
-0.01;-0.04;1.20;-2.11;4.20;-10.55
0.07;0.00;1.11;-1.56;-0.56;-9.40
0.02;-0.02;1.16;-1.54;0.66;-11.82
0.06;-0.03;1.13;-1.82;1.48;-8.14
0.05;0.02;1.13;-1.04;0.27;-8.40
0.02;-0.02;1.20;-1.51;-1.80;-7.94
-0.01;-0.01;1.21;-1.16;1.89;-10.23
0.05;-0.01;1.12;-1.68;0.81;-12.27
0.01;0.02;1.19;-2.00;1.68;-11.74
0.03;0.02;1.14;-1.54;1.82;-7.69
0.07;-0.00;1.09;-1.85;2.09;-5.21
0.06;0.01;1.13;-1.83;1.22;-9.33
0.02;-0.02;1.13;-2.40;0.87;-6.73
0.04;0.01;1.13;-1.77;0.96;-6.11
0.03;-0.01;1.18;-1.57;-0.15;-7.01
0.01;-0.00;1.21;-1.16;0.72;-7.08
0.06;-0.03;1.12;-1.77;1.92;-7.01
0.05;0.02;1.13;-1.53;-0.17;-7.73
0.04;0.01;1.11;-2.05;1.71;-1.73
0.04;-0.01;1.13;-1.31;0.53;-6.70
-0.00;0.02;1.20;-1.68;2.26;-8.84
0.00;0.01;1.12;-0.99;0.89;0.93
0.05;-0.05;1.10;-0.84;0.76;10.35
0.07;-0.06;1.10;-0.82;0.03;8.67
0.04;-0.01;1.22;-0.52;2.05;2.78
0.01;-0.01;1.25;-1.73;-1.40;1.57
0.03;0.00;1.17;-0.98;1.24;1.98
0.01;-0.02;1.19;-1.01;0.31;3.45
0.06;-0.01;1.12;-2.08;2.49;2.34
0.04;-0.02;1.16;-1.47;4.69;-1.71
0.03;-0.06;1.13;-2.12;0.14;-6.32
0.04;-0.00;1.18;-1.57;-2.15;-5.39
0.06;0.01;1.11;-1.15;-0.87;-4.09
0.02;-0.01;1.18;-1.04;-0.56;-4.93
0.03;-0.02;1.12;-0.56;1.74;-2.84
0.01;0.04;1.19;-1.40;2.35;0.29
-0.01;0.01;1.18;0.15;3.19;3.40
-0.05;0.06;1.19;0.95;3.73;19.18
0.03;0.01;1.14;1.25;0.52;28.20
0.04;0.02;1.19;1.98;0.89;27.59
0.04;-0.05;1.13;0.53;5.27;29.18
0.06;-0.01;1.21;0.93;-2.95;25.07
0.08;-0.00;1.14;-1.95;-2.89;18.40
0.07;-0.00;1.14;-2.41;-3.76;2.93
0.06;-0.03;1.13;-2.89;-1.62;-6.66
0.08;-0.03;1.12;-2.46;0.73;-18.35
0.03;0.00;1.14;-1.97;-1.88;-17.94
0.02;0.04;1.17;-2.50;-1.30;-9.48
0.06;0.04;1.13;-1.40;0.93;-3.66
0.04;0.02;1.15;-1.37;-0.43;-3.33
0.04;-0.02;1.15;-1.71;-0.38;-2.20
0.04;-0.01;1.15;-1.88;-0.73;-2.37
0.05;-0.02;1.14;-1.83;0.17;-2.61
0.05;-0.02;1.15;-1.45;1.53;-2.66
-0.01;-0.00;1.21;-3.30;-5.65;-2.66
0.06;-0.02;1.13;0.43;11.07;-2.66
0.03;-0.01;1.15;-0.23;6.78;-2.47
0.04;-0.02;1.16;-2.15;-1.01;-2.35
0.04;-0.02;1.15;-1.79;-1.65;-2.24
0.05;-0.01;1.14;-1.22;1.19;-2.44
0.05;-0.02;1.13;-1.80;-1.68;-2.17
0.04;-0.02;1.16;-1.82;-1.05;-2.24
0.04;-0.02;1.14;-1.37;0.20;-2.55
0.04;-0.02;1.15;-1.47;-0.56;-2.53
0.05;-0.03;1.15;-1.21;0.24;-2.38
0.04;-0.03;1.15;-1.37;0.95;-2.31
0.05;-0.02;1.14;-1.19;0.85;-2.32
0.04;-0.02;1.14;-1.13;0.87;-2.20
0.05;-0.02;1.15;-1.05;1.04;-2.11
0.04;-0.02;1.15;-1.21;1.15;-2.35
0.05;-0.02;1.15;-0.81;1.57;-2.21
0.04;-0.02;1.16;-1.28;0.78;-2.27
0.05;-0.02;1.14;-0.81;1.45;-2.61
0.04;-0.02;1.14;-0.69;3.34;-2.34
0.05;-0.03;1.13;-1.10;1.28;-2.31
0.05;-0.02;1.15;-0.61;4.27;-2.56
0.04;-0.02;1.13;-1.13;-0.49;-2.20
0.04;-0.02;1.15;-1.19;-1.08;-2.55
0.04;-0.02;1.15;-1.24;-1.79;-2.98
0.05;-0.03;1.15;-0.93;10.23;-13.95
0.01;-0.02;1.15;-1.42;0.72;-4.64
0.04;-0.02;1.15;-1.05;0.12;-2.69
0.04;-0.02;1.16;-0.98;0.41;-2.17
0.04;-0.02;1.15;-1.08;-0.29;-2.43
0.05;-0.02;1.14;-1.01;1.95;-2.32
0.05;-0.02;1.15;-0.81;0.61;-2.26
0.04;-0.02;1.15;-1.01;-0.09;-2.27
0.03;-0.02;1.14;-1.05;0.84;-2.14
0.05;-0.02;1.15;-1.02;1.60;-2.92
0.05;-0.02;1.14;-1.28;0.63;-2.72
0.04;-0.02;1.15;-1.19;-0.35;-2.24
0.05;-0.02;1.15;-1.51;-0.38;-2.24
0.04;-0.02;1.15;-1.22;1.07;-2.24
0.04;-0.02;1.15;-1.54;-0.20;-2.34
0.05;-0.02;1.15;-0.76;0.20;-2.23
0.04;-0.02;1.15;-1.11;0.72;-2.26
0.04;-0.02;1.15;-1.45;-0.50;-2.41
0.04;-0.02;1.15;-1.13;0.81;-2.02
0.04;-0.02;1.15;-1.10;0.47;-2.56
0.04;-0.02;1.14;-1.05;0.85;-2.23
0.05;-0.02;1.15;-1.80;-1.86;-2.82
0.05;-0.03;1.15;-1.54;2.84;-14.18
0.04;-0.02;1.15;-1.37;0.00;-3.66
0.05;-0.01;1.15;-1.27;0.05;-2.99
0.04;-0.02;1.15;-1.47;-0.95;-3.71
0.04;-0.01;1.14;-1.04;1.33;-4.55
0.05;-0.02;1.14;-1.11;0.40;-3.51
0.04;-0.02;1.14;-1.25;1.02;-2.79
0.04;-0.02;1.14;-0.98;1.18;-2.44
0.04;-0.02;1.14;-1.40;0.56;-1.97
0.04;-0.02;1.15;-1.22;0.99;-2.55
0.07;-0.03;1.14;-1.37;2.46;-2.55
0.07;-0.02;1.12;-0.41;-1.10;9.16
0.06;-0.02;1.15;-1.62;-0.81;-1.28
0.02;-0.02;1.15;-0.79;1.54;-0.84
0.04;-0.02;1.15;-1.15;2.56;-2.20
0.04;-0.02;1.15;-1.39;-0.18;-2.26
0.05;-0.02;1.15;-0.75;2.93;-2.29
0.04;-0.02;1.15;-1.33;-0.23;-2.09
0.04;-0.02;1.15;-1.11;0.82;-2.38
0.05;-0.02;1.15;-1.21;1.15;-2.24
0.04;-0.02;1.15;-1.01;1.05;-2.17
0.05;-0.02;1.15;-1.02;0.60;-2.47
0.05;-0.02;1.15;-1.51;0.61;-2.55
0.04;-0.02;1.15;-0.87;0.70;-2.38
0.05;-0.01;1.15;-1.08;-0.06;-2.12
0.05;-0.02;1.16;-0.58;3.66;-2.35
0.05;-0.02;1.14;-0.89;1.54;-2.18
0.04;-0.02;1.15;-0.41;1.19;-2.56
0.05;-0.02;1.15;-1.24;1.08;-2.31
0.05;-0.02;1.16;-1.01;0.31;-2.14
0.05;-0.02;1.14;-0.99;1.07;-2.23
0.04;-0.02;1.14;-1.19;1.15;-2.40
0.04;-0.02;1.14;-0.92;1.15;-2.34
0.04;-0.02;1.14;-1.01;1.56;-2.61
0.05;-0.02;1.14;-0.89;2.95;-2.69
0.05;-0.02;1.14;-0.85;1.07;-2.20
0.05;-0.02;1.14;-0.53;3.34;-1.88
0.04;-0.02;1.15;0.02;5.65;-2.69
0.04;-0.02;1.15;-0.18;3.50;-3.01
0.04;-0.02;1.15;0.72;7.07;-2.20
0.04;-0.02;1.15;0.49;6.75;-1.89
-0.01;-0.00;1.15;-0.12;2.99;14.37
0.07;-0.02;1.14;-0.40;-2.23;20.27
0.04;-0.02;1.16;-0.35;2.69;9.51
0.05;-0.03;1.15;-1.11;1.27;3.33
0.05;-0.02;1.15;-1.36;0.09;-1.16
0.05;-0.02;1.15;-1.40;-0.70;-2.35
0.04;-0.02;1.14;-2.06;-1.33;-2.37
0.05;-0.02;1.15;-2.46;-3.40;-1.82
0.04;-0.02;1.15;-2.44;-5.71;6.56
0.04;-0.02;1.13;-1.83;-2.95;3.86
0.04;-0.02;1.14;-1.91;-3.27;4.98
0.03;-0.03;1.16;-1.57;-3.80;0.72
0.04;-0.02;1.14;0.63;8.50;-2.66
0.04;-0.02;1.14;-1.19;1.31;-2.69
0.05;-0.03;1.15;-1.05;1.01;-2.43
0.04;-0.02;1.15;-1.08;1.33;-2.21
0.05;-0.02;1.15;-1.24;0.73;-2.29
0.05;-0.02;1.15;-1.07;1.04;-2.20
0.04;-0.02;1.14;-1.15;1.37;-2.61
0.05;-0.02;1.15;-1.22;0.58;-2.53
0.06;-0.02;1.15;1.53;11.44;-1.95
0.06;-0.02;1.14;-2.02;-3.88;0.08
0.04;-0.02;1.16;-0.82;2.55;2.47
0.05;-0.02;1.14;-1.18;1.95;-2.34
0.05;-0.02;1.15;-0.49;3.47;-2.31
0.04;-0.02;1.15;-0.73;1.80;-2.72
0.04;-0.02;1.15;-1.04;0.64;-2.31
0.04;-0.02;1.14;-1.51;-0.15;-2.26
0.04;-0.02;1.15;-2.06;-2.49;-2.60
0.05;-0.02;1.15;-2.12;-2.56;-2.32
0.04;-0.02;1.15;-1.86;-0.56;-2.08
0.05;-0.01;1.14;-1.15;0.53;-2.37
0.04;-0.02;1.14;-1.05;1.11;-2.32
0.05;-0.02;1.16;-1.73;-0.84;-2.38
0.06;-0.02;1.14;-0.90;1.22;-2.11
0.04;-0.02;1.14;-1.22;0.64;-2.32
0.05;-0.02;1.14;-1.28;-1.19;-2.52
0.05;-0.03;1.14;-1.45;0.02;-3.95
0.05;-0.02;1.14;-1.47;-1.42;-2.76
0.05;-0.02;1.14;-0.67;1.59;-2.46
0.05;-0.02;1.15;-0.79;1.91;-2.31
0.05;-0.02;1.15;-0.64;2.78;-2.50
0.05;-0.02;1.14;-1.04;1.95;-2.20
0.05;-0.02;1.15;-0.38;3.18;-2.52
0.04;-0.02;1.15;-1.04;0.53;-2.60
0.04;-0.02;1.15;-1.07;1.34;-2.29
0.04;-0.02;1.15;-0.99;2.76;-2.58
0.04;-0.02;1.15;-0.58;2.64;-2.27
0.05;-0.02;1.14;-1.15;1.04;-2.34
0.05;-0.02;1.15;-1.36;0.02;-2.52
0.04;-0.01;1.15;-0.90;0.34;-2.43
0.04;-0.02;1.16;-1.47;1.11;-2.64
0.05;-0.02;1.16;-0.70;1.63;-2.81
0.05;-0.01;1.15;-1.08;0.92;-4.17
0.05;-0.02;1.15;-1.47;-0.11;-6.47
0.03;-0.03;1.16;-1.02;1.04;-3.18
0.06;-0.02;1.15;-1.56;0.27;-3.51
0.05;-0.02;1.14;-1.33;1.18;-4.41
0.06;-0.02;1.16;-1.33;1.39;-8.06
0.04;-0.02;1.15;-1.80;0.20;-7.51
0.03;-0.02;1.15;-1.21;1.11;-3.77
0.05;-0.03;1.15;-1.53;0.26;-2.78
0.05;-0.02;1.14;-1.97;-1.47;-2.67
0.04;-0.01;1.16;-1.73;-0.95;-2.29
0.04;-0.03;1.16;-1.22;-0.43;-2.34
0.04;-0.02;1.14;-0.41;2.52;-2.23
0.04;-0.02;1.15;0.09;8.02;-2.60
0.04;-0.02;1.15;-0.70;2.63;-2.69
0.05;-0.03;1.14;-1.33;0.73;-2.18
0.04;-0.02;1.14;-0.98;1.54;-2.27
0.05;-0.03;1.15;-1.76;-1.63;-2.31
0.05;-0.02;1.16;-1.15;1.13;-2.17
0.04;-0.01;1.15;0.56;8.44;-2.98
0.05;-0.02;1.15;-0.63;3.95;-2.43
0.04;-0.02;1.14;-0.75;3.63;-2.56
0.03;-0.02;1.16;-0.11;5.68;-2.78
0.04;-0.02;1.15;-1.19;0.29;-2.29
0.05;-0.02;1.14;-1.18;-0.73;-2.41
0.04;-0.02;1.14;-0.95;2.38;-2.75
0.04;-0.01;1.15;-1.18;-3.19;1.89
0.04;-0.04;1.15;-0.53;-5.80;12.70
0.05;-0.02;1.15;-0.37;-1.68;-2.40
0.04;-0.02;1.15;-0.52;1.79;-2.43
0.05;-0.02;1.15;0.82;5.95;-2.41
0.05;-0.02;1.14;0.67;5.05;-2.58
0.05;-0.02;1.15;1.47;8.20;-2.63
0.06;0.00;1.15;0.17;3.59;-3.11
0.16;0.16;1.10;-3.11;0.20;-26.63
0.17;0.30;1.14;-3.91;1.16;-61.05
0.03;0.42;1.04;-3.07;5.92;-63.91
-0.02;0.55;1.18;-1.59;4.75;-49.44
-0.05;0.52;1.17;-0.14;4.98;-41.02
-0.13;0.41;1.16;0.21;3.92;6.76
0.10;0.16;1.04;4.95;6.08;49.28
0.38;-0.12;1.12;0.37;1.62;2.44
-0.06;-0.09;1.13;-0.99;-4.05;12.21
-0.16;-0.25;1.17;2.61;-0.11;57.11
-0.00;-0.40;1.17;2.41;4.05;55.51
0.18;-0.37;1.13;1.92;2.63;38.60
0.07;-0.34;1.11;0.95;1.07;29.85
0.05;-0.25;1.15;-0.46;-1.36;17.57
0.02;-0.08;1.09;-0.09;-1.24;18.50
0.06;-0.13;1.12;-0.38;2.95;8.15
0.04;-0.06;1.13;-1.34;2.66;-4.00
0.02;-0.04;1.16;-1.40;1.02;-5.39
0.02;-0.02;1.15;-0.85;1.53;1.02
0.05;-0.05;1.16;-0.11;2.27;-0.37
0.04;-0.08;1.16;-1.13;0.72;-2.52
0.06;-0.06;1.14;-0.90;2.05;-3.92
0.05;-0.02;1.14;-1.39;0.79;-4.15
0.04;-0.02;1.15;-1.57;-0.15;-4.52
0.04;-0.01;1.14;-1.01;1.88;-5.66
0.05;-0.02;1.13;-1.02;1.91;-2.92
0.04;-0.02;1.14;-1.24;1.83;-2.41
0.04;-0.02;1.15;-1.19;1.01;-2.49
0.04;-0.01;1.15;-1.30;0.85;-2.92
0.05;-0.01;1.15;-1.80;0.24;-5.92
0.02;-0.02;1.15;-0.87;1.95;-8.78
0.03;-0.02;1.14;-1.22;1.79;-5.73
0.03;-0.02;1.15;-1.07;0.76;-2.93
0.04;-0.02;1.16;-1.24;1.94;-2.43
0.04;-0.02;1.14;-3.08;-3.56;-1.92
0.05;-0.02;1.14;-2.96;-4.00;-2.27
0.06;-0.02;1.15;-2.64;-2.84;-1.92
0.05;-0.02;1.14;-2.44;-1.69;-2.35
0.06;-0.02;1.14;-1.68;0.72;-2.53
0.05;-0.01;1.15;-1.69;1.27;-2.73
0.02;-0.01;1.18;-2.18;-0.38;-2.44
0.05;-0.02;1.15;-1.45;2.18;-2.31
0.04;-0.02;1.15;-0.99;1.71;-2.02
0.03;-0.02;1.15;-1.66;-0.56;-2.12
0.05;-0.02;1.14;-2.81;-5.33;-2.46
0.05;-0.02;1.14;-1.33;-0.06;-2.55
0.04;-0.02;1.14;-1.05;1.91;-2.32
0.04;-0.01;1.15;-1.05;0.23;-2.46
0.04;-0.02;1.15;-1.39;0.75;-2.67
0.05;-0.02;1.15;-0.99;0.37;-2.35
0.04;-0.02;1.15;-1.36;0.21;-1.88
0.04;-0.02;1.15;-0.84;2.17;-2.79
0.05;-0.02;1.15;-1.10;1.88;-1.94
0.05;-0.02;1.15;-1.13;1.94;-2.40
0.05;-0.01;1.14;-1.34;-0.03;-1.91
0.04;-0.02;1.15;-0.95;1.89;-2.15
0.05;-0.02;1.15;-0.29;2.96;-2.17
0.04;-0.02;1.14;1.53;10.90;-2.63
0.04;-0.02;1.15;1.11;8.29;-2.63
0.03;-0.01;1.17;3.28;9.71;-1.74
0.05;-0.02;1.15;5.73;6.14;9.94
0.04;-0.01;1.14;4.66;8.49;-0.08
0.04;-0.01;1.15;4.12;8.23;-1.40
-0.01;-0.04;1.16;0.64;3.48;-0.75
0.04;-0.05;1.16;1.51;6.78;-3.22
0.05;-0.06;1.16;0.03;3.08;-6.24
0.01;-0.08;1.15;-0.38;2.64;-5.28
0.03;-0.08;1.16;-1.04;0.81;-6.66
0.05;-0.09;1.13;-2.49;-0.56;-10.53
-0.01;0.02;1.16;-1.19;-0.98;-12.20
0.04;0.04;1.14;-0.63;1.74;7.85
0.00;0.00;1.22;-1.34;4.40;-0.12
0.02;0.03;1.19;0.26;2.63;-2.43
-0.00;-0.00;1.16;-0.56;0.47;0.69
-0.01;0.05;1.12;-1.54;-0.35;11.57
0.07;0.01;1.13;-1.24;-2.21;13.40
0.03;0.01;1.15;-1.16;1.07;4.78
0.04;-0.01;1.16;-1.31;0.56;-2.18
0.03;0.00;1.14;-1.62;0.05;-4.70
0.02;0.01;1.15;-2.15;0.18;-0.96
0.03;-0.00;1.14;-2.17;-1.44;2.27
0.05;-0.02;1.13;-2.61;0.08;-0.99
0.02;-0.02;1.15;-1.56;0.92;-3.79
0.04;0.01;1.14;-2.69;-0.43;-4.18
0.03;-0.00;1.14;-3.18;-2.46;-2.14
0.03;0.02;1.15;-2.96;-1.71;-0.64
0.04;0.01;1.15;-1.18;-0.82;0.08
0.03;-0.02;1.15;-1.34;1.16;-1.80
0.04;0.01;1.15;-2.05;-0.23;-3.13
0.03;-0.01;1.15;-1.71;0.70;-3.25
0.04;-0.01;1.14;-1.53;-0.11;-1.05
0.04;0.01;1.15;-1.71;1.16;-2.31
0.04;0.01;1.15;-1.22;-0.03;-2.29
0.05;-0.00;1.14;-2.52;0.27;-3.13
0.05;-0.03;1.13;-2.76;-1.85;-3.21
0.07;-0.02;1.14;-3.74;-4.37;-8.41
0.05;-0.02;1.15;-4.90;-4.24;-14.53
0.01;0.02;1.14;-3.60;-5.28;-6.55
0.05;-0.01;1.15;-3.47;-2.92;-1.27
0.04;-0.02;1.13;-1.73;0.75;-4.34
0.01;0.02;1.14;-1.42;-0.69;0.89
0.03;0.00;1.15;-0.67;0.43;6.43
0.04;-0.03;1.15;-2.40;-3.56;7.71
0.04;-0.04;1.13;-2.49;-3.65;7.66
0.04;-0.02;1.14;-1.89;-3.82;8.69
0.05;-0.02;1.14;-1.45;-3.37;7.80
0.05;-0.00;1.16;-1.25;-2.69;8.18
0.05;-0.01;1.13;-1.97;-3.44;7.94
0.05;-0.01;1.15;-1.25;-2.00;4.41
0.02;0.01;1.15;-1.44;-0.34;-0.53
0.05;-0.02;1.14;-1.60;-0.58;-1.57
0.05;-0.02;1.15;-1.71;-0.20;-2.81
0.07;-0.02;1.15;-2.15;-0.50;-5.69
0.04;-0.02;1.15;-1.50;0.31;-6.64
0.04;-0.01;1.15;-1.66;-0.20;-3.08
0.05;-0.02;1.14;-1.68;-0.79;-2.50
0.04;-0.03;1.15;-1.25;0.00;-2.44
0.06;-0.02;1.14;-0.92;0.84;-2.23
0.05;-0.02;1.14;-0.73;2.23;-2.55
0.05;-0.02;1.14;-1.42;0.79;-2.32
0.05;-0.01;1.15;-1.18;1.83;-2.96
0.07;-0.01;1.14;-1.44;3.57;-12.20
0.03;-0.02;1.15;-1.34;1.65;-9.44
0.05;-0.02;1.14;-1.53;1.13;-8.21
0.04;-0.01;1.16;-2.17;-2.32;-6.43
0.04;-0.02;1.15;-1.51;-0.02;-3.89
0.04;-0.02;1.14;-1.59;0.37;-2.78
0.05;-0.02;1.14;-2.50;-3.28;-2.08
0.05;-0.02;1.14;-0.55;4.20;-2.32
0.05;-0.01;1.16;-0.03;6.32;-2.56
0.05;-0.02;1.15;-1.69;-0.99;-2.32
0.04;-0.02;1.15;-1.07;4.78;-2.23
0.05;-0.01;1.14;-3.42;-11.15;-1.97
0.04;-0.02;1.15;-2.08;-2.78;-2.40
0.04;-0.02;1.15;-1.37;0.96;-2.63
0.05;-0.02;1.15;-1.62;-0.76;-2.23
0.05;-0.01;1.15;-1.39;-0.95;-2.38
0.06;-0.02;1.15;-1.24;0.11;-2.34
0.05;-0.03;1.15;-1.39;-0.56;-2.46
0.05;-0.02;1.15;-1.28;0.60;-2.41
0.05;-0.02;1.15;-1.21;1.15;-2.49
0.05;-0.02;1.15;-1.18;1.10;-2.55
0.05;-0.02;1.14;-1.22;0.70;-2.17
0.05;-0.02;1.14;-1.31;0.95;-2.27
0.05;-0.02;1.15;-1.22;1.05;-2.34
0.05;-0.02;1.16;-1.30;0.49;-2.35
0.04;-0.02;1.15;-0.76;0.58;-2.43
0.05;-0.02;1.14;-1.28;0.52;-2.21
0.05;-0.02;1.14;-1.27;0.95;-2.40
0.04;-0.02;1.15;-1.19;0.90;-2.50
0.05;-0.02;1.15;-1.08;0.73;-2.38
0.05;-0.03;1.14;-0.96;0.90;-2.37
0.05;-0.02;1.15;-1.01;0.38;-2.55
0.05;-0.02;1.15;-0.50;1.71;-2.37
0.05;-0.02;1.14;-1.07;1.39;-2.37
0.05;-0.03;1.15;-1.11;1.07;-2.26
0.05;-0.02;1.14;-1.50;0.85;-2.23
0.05;-0.02;1.15;-1.33;0.27;-2.32
0.05;-0.02;1.15;-1.18;0.11;-2.60
0.04;-0.01;1.15;-1.22;0.50;-2.56
0.05;-0.02;1.13;-1.19;0.35;-2.32
0.04;-0.02;1.15;-1.02;0.15;-2.24
0.05;-0.02;1.15;-0.93;0.52;-2.34
0.04;-0.02;1.14;-1.37;1.11;-2.49
0.05;-0.02;1.13;-0.84;1.11;-2.38
0.05;-0.02;1.14;-0.98;0.84;-2.18
0.05;-0.02;1.16;-1.36;0.73;-2.49
0.05;-0.02;1.15;-1.08;0.58;-2.35
0.05;-0.02;1.15;-1.24;0.98;-2.55
0.05;-0.02;1.14;-0.87;1.11;-2.44
0.05;-0.02;1.15;-1.45;0.53;-2.17
0.05;-0.02;1.14;-0.99;-0.61;-2.34
0.05;-0.01;1.14;-0.98;1.02;-2.31
0.05;-0.02;1.16;-1.16;1.25;-2.29
0.05;-0.02;1.15;-0.92;1.54;-2.82
0.05;-0.02;1.14;-1.05;2.46;-2.40
0.05;-0.02;1.14;-1.40;0.18;-2.41
0.05;-0.02;1.14;-0.90;1.40;-2.69
0.05;-0.02;1.16;-1.42;-1.01;-2.55
0.05;-0.02;1.15;-1.92;-2.23;-2.41
0.05;-0.02;1.14;-1.15;1.59;-2.52
0.05;-0.02;1.14;-0.52;3.31;-2.24
0.05;-0.02;1.16;-1.13;1.74;-2.32
0.05;-0.02;1.16;-1.08;-0.24;-2.18
0.05;-0.03;1.13;-1.08;0.53;-2.52
0.05;-0.02;1.14;-1.10;0.95;-2.46
0.04;-0.02;1.14;-1.22;1.63;-2.49
0.05;-0.02;1.14;-1.22;1.13;-2.31
0.05;-0.02;1.15;-1.36;-0.09;-2.70
0.05;-0.02;1.14;-1.21;0.38;-2.44
0.05;-0.02;1.14;-1.42;0.52;-2.49
0.05;-0.02;1.15;-0.87;0.60;-2.31
0.05;-0.02;1.15;-1.31;0.69;-2.56
0.05;-0.02;1.15;-1.45;0.56;-2.15
0.05;-0.02;1.15;-1.08;0.73;-2.23
0.04;-0.02;1.13;-1.10;1.34;-2.37
0.05;-0.02;1.15;-1.08;1.71;-2.67
0.05;-0.02;1.15;-0.84;1.39;-2.06
0.06;-0.02;1.14;-0.67;1.36;-1.71
0.06;-0.02;1.15;-0.29;-1.22;20.47
0.05;-0.01;1.14;-0.99;0.60;2.50
0.05;-0.03;1.16;-1.08;0.46;-1.74
0.05;-0.02;1.14;-1.13;0.44;-2.52
0.05;-0.02;1.15;-1.31;1.53;-2.43
0.05;-0.02;1.15;-1.42;0.67;-2.43
0.05;-0.02;1.15;-1.36;0.69;-2.64
0.05;-0.03;1.15;-1.51;0.35;-2.87
0.05;-0.02;1.14;-1.16;1.16;-2.87
0.05;-0.02;1.14;-0.96;1.73;-3.05
0.05;-0.02;1.15;-0.95;1.34;-2.76
0.05;-0.02;1.15;-1.11;0.64;-2.21
0.06;-0.02;1.15;-1.22;1.15;-2.27
0.05;-0.02;1.14;-1.15;1.31;-2.35
0.05;-0.02;1.15;-1.08;1.10;-2.06
0.05;-0.02;1.15;-0.99;1.33;-2.73
0.05;-0.02;1.15;-1.27;0.76;-2.24
0.05;-0.02;1.14;-1.33;1.25;-2.32
0.05;-0.01;1.14;-1.19;1.54;-2.14
0.05;-0.02;1.15;-1.11;1.01;-2.64
0.05;-0.02;1.15;-1.22;1.27;-2.70
0.05;-0.02;1.15;-1.19;1.15;-2.44
0.05;-0.02;1.14;-1.24;0.55;-2.27
0.05;-0.02;1.15;-0.96;0.89;-2.40
0.05;-0.02;1.15;-1.34;1.48;-2.31
0.05;-0.02;1.14;-1.60;0.79;-2.29
0.05;-0.02;1.15;-1.11;0.78;-2.41
0.05;-0.02;1.15;-0.82;0.87;-2.35
0.05;-0.02;1.15;-1.37;0.81;-2.09
0.05;-0.02;1.15;-0.95;1.02;-2.31
0.05;-0.02;1.14;-1.21;0.69;-2.34
0.05;-0.02;1.15;-0.75;1.50;-2.31
0.05;-0.02;1.14;-0.93;1.08;-2.70
0.06;-0.02;1.14;-1.16;0.29;-2.50
0.05;-0.02;1.15;-1.31;1.15;-2.00
0.05;-0.02;1.14;-1.22;0.95;-2.60
0.06;-0.02;1.15;-0.95;1.08;-2.63
0.05;-0.02;1.15;-0.84;1.02;-2.60
0.05;-0.02;1.15;-0.82;1.01;-2.11
0.06;-0.02;1.15;-0.75;1.08;-2.40
0.05;-0.02;1.15;-0.98;0.53;-2.49
0.05;-0.02;1.14;-1.24;1.07;-2.41
0.05;-0.02;1.14;-1.25;0.69;-2.49
0.05;-0.02;1.15;-1.13;0.87;-2.49
0.05;-0.02;1.14;-1.11;1.25;-2.35
0.05;-0.02;1.14;-0.95;1.22;-2.55
0.05;-0.02;1.15;-1.19;1.01;-2.17
0.05;-0.02;1.14;-1.24;1.33;-2.34
0.05;-0.02;1.15;-1.57;0.82;-2.38
0.05;-0.02;1.14;-1.27;0.79;-2.21
0.05;-0.02;1.14;-1.10;1.36;-2.41
